City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
696,Tequila,MX,77.97,overcast clouds,20.8833,-103.8333,Hotel La Rienda Mision Tequillan
701,Mandera,KE,81.07,broken clouds,3.9366,41.867,Mwalimu Guest mandera
717,Fare,PF,81.0,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
720,Batuan,PH,75.29,scattered clouds,9.7808,124.1484,Villa Cresenciana
722,Princeton,US,75.99,broken clouds,25.5384,-80.4089,American Best Inn
731,Iralaya,HN,80.69,few clouds,15.0,-83.2333,Iglesia morava renovada
735,Basco,PH,75.6,broken clouds,20.4487,121.9702,Nathaniel's Lodge
740,Carora,VE,76.37,broken clouds,10.1755,-70.0827,Hotel Irpinia
756,Progreso,MX,75.72,clear sky,21.2833,-89.6667,Playa Linda Hotel
758,Bang Pakong,TH,76.95,scattered clouds,13.543,100.9933,PJ PLACE
766,Gboko,NG,79.93,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
769,Formosa,AR,84.18,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
770,Oussouye,SN,75.29,broken clouds,12.485,-16.5469,Auberge du Routard
776,Anito,PH,78.58,broken clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
781,Isla Mujeres,MX,78.17,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
788,Hambantota,LK,77.09,scattered clouds,6.1241,81.1185,Bungalow 63
797,Okrika,NG,79.29,light rain,4.7416,7.0849,ayo mutiaru f
804,Mildura,AU,76.06,broken clouds,-34.2,142.15,Mercure Hotel Mildura
810,Kupang,ID,81.18,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
812,Chake Chake,TZ,76.3,light rain,-5.2459,39.7666,Hotel Archipelago
814,Maumere,ID,81.77,overcast clouds,-8.6199,122.2111,Sylvia Hotel
817,Itarema,BR,81.14,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
819,Poum,NC,80.91,few clouds,-20.2333,164.0167,Gîte kajeon
828,Puerto Colombia,CO,81.54,broken clouds,10.9878,-74.9547,Hotel El Emigrante
829,Kattivakkam,IN,80.69,clear sky,13.2167,80.3167,Euronova Freezer
830,Les Cayes,HT,76.8,scattered clouds,18.2,-73.75,Villa Orphee
833,Bela Vista,BR,78.06,scattered clouds,-22.1089,-56.5211,Bella Vista Palace Hotel
840,San Patricio,US,77.54,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
846,Ayorou,NE,75.74,clear sky,14.7308,0.9174,Hotel Amenokal
851,Le Port,RE,76.96,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
854,Monrovia,LR,80.24,scattered clouds,6.3005,-10.7969,Sunset Inn
859,Makasar,ID,75.25,heavy intensity rain,-5.14,119.4221,Hotel Horison Ultima Makassar
861,Sampit,ID,75.83,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
865,Floriano,BR,79.09,scattered clouds,-6.7669,-43.0225,Hotel Maktub
873,Tomatlan,MX,77.63,overcast clouds,19.9333,-105.25,El Salvial
879,Dalby,AU,75.85,scattered clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
889,College Station,US,75.94,scattered clouds,30.628,-96.3344,Homewood Suites by Hilton College Station
895,Key Biscayne,US,76.01,few clouds,25.6937,-80.1628,"The Ritz-Carlton Key Biscayne, Miami"
905,Quatre Cocos,MU,78.1,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
914,Anloga,GH,81.72,broken clouds,5.7947,0.8973,Pin Drop Hotel
915,Los Cordobas,CO,79.75,broken clouds,8.894,-76.3546,Hospedaje SyS
918,Oriximina,BR,79.7,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
920,Harper,LR,79.84,light rain,4.375,-7.7169,Screensaver
921,Touros,BR,80.65,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
924,Olinda,BR,79.79,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
925,Bandarbeyla,SO,75.87,clear sky,9.4942,50.8122,JABIR HOTEL
929,Tamandare,BR,77.76,scattered clouds,-8.7597,-35.1047,Pousada 100 Passos
932,Alyangula,AU,86.86,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
936,Saint-Joseph,RE,75.56,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
942,Mana,GF,77.38,overcast clouds,5.6592,-53.7767,LE SAMANA
943,Mumbwa,ZM,76.37,broken clouds,-14.9783,27.0619,Mumbwa Motel
944,Guanica,PR,81.91,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
947,Kavaratti,IN,80.6,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
953,Goya,AR,76.82,few clouds,-29.14,-59.2626,Apart Costanera Goya
954,Daru,PG,83.88,overcast clouds,-9.0763,143.2092,Daru Lodge
967,Kishi,NG,76.08,broken clouds,9.0833,3.85,New NCCF KISI
973,Paredon,MX,81.28,clear sky,16.0333,-93.8667,Hotel Principal Paredon
982,Norsup,VU,84.29,clear sky,-16.0667,167.3833,Nabelchel Bungalows
988,Celestun,MX,75.69,clear sky,20.8667,-90.4,Posada Lilia
