City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
182,Sabang,ID,5.8933,95.3214,80.92,77,91,14.92,overcast clouds
183,Mount Isa,AU,-20.7333,139.5,78.57,57,98,16.11,overcast clouds
184,Merauke,ID,-8.4667,140.3333,83.35,74,100,2.13,overcast clouds
185,Saint George,US,37.1041,-113.5841,68.47,26,1,1.99,clear sky
186,Meulaboh,ID,4.1363,96.1285,76.33,86,93,3.47,overcast clouds
187,Stephenville Crossing,CA,48.5,-58.4318,28.53,86,75,10.36,light shower snow
188,Hirara,JP,24.8,125.2833,70.07,68,20,11.5,few clouds
189,Port Moresby,PG,-9.4431,147.1797,81.82,78,75,11.5,broken clouds
190,Yatou,CN,37.15,122.3833,47.97,80,47,6.51,scattered clouds
191,Qaanaaq,GL,77.484,-69.3632,20.37,82,100,6.73,overcast clouds
192,Ovsyanka,RU,55.9575,92.5519,33.22,90,100,8.32,overcast clouds
193,Butaritari,KI,3.0707,172.7902,80.65,83,100,12.68,moderate rain
194,Viedma,AR,-40.8135,-62.9967,69.21,32,0,16.8,clear sky
195,Yushu,CN,44.8,126.5333,22.66,89,92,7.38,overcast clouds
196,Muzaffarabad,PK,34.37,73.4711,50.29,84,90,5.26,overcast clouds
197,Beloha,MG,-25.1667,45.05,71.42,97,6,4.12,clear sky
198,Velingara,SN,13.15,-14.1167,78.13,18,82,5.66,broken clouds
199,Rio Arriba,US,36.5334,-106.7006,37.51,51,22,5.61,few clouds
200,Kelvington,CA,52.1667,-103.5343,-4.34,96,100,10.8,overcast clouds
201,Srednekolymsk,RU,67.45,153.6833,-48.55,99,75,4.63,broken clouds
202,Khatanga,RU,71.9667,102.5,-18.65,99,98,6.96,overcast clouds
203,Nipawin,CA,53.3668,-104.0009,-7.56,64,1,13.8,clear sky
204,Honiara,SB,-9.4333,159.95,82.94,81,89,5.59,light rain
205,Bowen,AU,-20.0167,148.2333,84.42,59,12,15.9,few clouds
206,Illapel,CL,-31.6308,-71.1653,72.68,49,29,3.8,scattered clouds
207,Bojnurd,IR,37.4747,57.329,37.35,70,0,9.22,clear sky
208,Calabozo,VE,8.9242,-67.4293,85.23,46,44,8.12,scattered clouds
209,Shingu,JP,33.7333,135.9833,52.79,84,95,3.04,overcast clouds
210,Beyneu,KZ,45.3167,55.2,35.69,75,100,10.29,overcast clouds
211,Fortuna,US,40.5982,-124.1573,56.43,72,90,5.75,overcast clouds
212,Praia,CV,14.9215,-23.5087,72.14,83,0,18.41,clear sky
213,Bambanglipuro,ID,-7.95,110.2833,66.6,85,99,6.93,overcast clouds
214,Talnakh,RU,69.4865,88.3972,-18.8,99,100,13.53,snow
215,Mahajanga,MG,-15.7167,46.3167,78.82,78,20,4.61,few clouds
216,Ambilobe,MG,-13.2,49.05,74.37,75,4,3.24,clear sky
217,Pevek,RU,69.7008,170.3133,-9.83,96,100,16.51,overcast clouds
